"title","release_period","whether_remake","whether_franchise","genre","new_actor","new_director","new_music_director","lead_star","director","music_director","number_of_screens","revenue_inr","budget_inr","writers.x","sequel.x","hit_flop.x","date","month","year","writers.y","sequel.y","hit_flop.y","era"
"aurangzeb","normal","no","no","drama","no","yes","yes","arjun kapoor","atul sabharwal","amartya rahut",1200,220000000,350252500,"atul sabharwal (script)",0,2,"17","may","2013","atul sabharwal (script)","0",2,"new"
"time pass","normal","no","no","comedy","no","yes","no","arjun punj","chander mishra","sunil jha",45,12500000,5300000,"chander mishra",0,1,NA,NA,NA,"chander mishra","0",1,NA
"ek ajnabee","normal","yes","no","action","no","no","no","arjun rampal","apoorva lakhia","amar mohile",325,120000000,123040000,"apoorva lakhia (screenplay) | manoj tyagi (screenplay) | manoj tyagi (dialogue)",0,2,"09","dec","2005","apoorva lakhia (screenplay) | manoj tyagi (screenplay) | manoj tyagi (dialogue)","0",2,"old"
"chakravyuh","holiday","no","no","drama","no","no","no","arjun rampal","prakash jha","salim - sulaiman",1200,300000000,257700000,"prakash jha | sagar pandya | anjum rajabali",0,2,"24","oct","2012","prakash jha | sagar pandya | anjum rajabali","0",2,"new"
"vaada","normal","yes","no","thriller","no","no","no","arjun rampal","satish kaushik","himesh reshammiya",285,80000000,95300000,"rumi jaffery",0,2,"07","jan","2005","rumi jaffery","0",2,"old"
"inkaar","holiday","no","no","drama","no","no","no","arjun rampal","sudhir mishra","shantanu moitra",800,140000000,149350000,"sudhir mishra",0,2,"18","jan","2013","sudhir mishra","0",2,"new"
"elaan","holiday","no","no","action","no","no","no","arjun rampal","vikram bhatt","anu malik",375,150000000,129397500,"robin bhatt | vikram bhatt",0,1,"14","jan","2005","robin bhatt | vikram bhatt","0",1,"old"
"i see you","holiday","no","no","drama","no","yes","no","arjun rampal","vivek agrawal","vishal - shekhar",125,80000000,19233750,"vivek b agrawal (story) | suresh nair (screenplay) | niranjan iyengar (dialogue)",0,1,"29","dec","2006","vivek b agrawal (story) | suresh nair (screenplay) | niranjan iyengar (dialogue)","0",1,"old"
"lekar hum deewana dil","normal","no","no","rom__com","yes","yes","no","armaan jain","arif ali","a.r. rehman",875,28200000,45360000,"arif ali",0,1,"04","jul","2014","arif ali","0",1,"new"
"rabba main kya karoon","holiday","no","no","comedy","no","no","yes","arshad warsi","amrit sagar","labh junjua",400,110000000,14400000,"aakash kaushik",0,1,"02","aug","2013","aakash kaushik","0",1,"new"
"krazzy 4","holiday","no","no","comedy","no","yes","no","arshad warsi","jaideep sen","rajesh roshan",800,180000000,322780000,"ashwani dhir (screenplay) | rakesh roshan (story)",0,4,"11","apr","2008","ashwani dhir (screenplay) | rakesh roshan (story)","0",4,"old"
"sehar","normal","no","no","drama","no","yes","yes","arshad warsi","kabeer kaushik","daniel b. george",60,40000000,20400000,"kabeer kaushik",0,2,NA,NA,NA,"kabeer kaushik","0",2,NA
"hum tum aur ghost","normal","no","no","fantasy","no","no","no","arshad warsi","kabeer kaushik","shankar - ehsaan - loy",450,210000000,80100000,"arshad sayed (screenplay) | soumik sen (screenplay) | arshad warsi (screenplay) | arshad warsi (story)",0,1,"26","mar","2010","arshad sayed (screenplay) | soumik sen (screenplay) | arshad warsi (screenplay) | arshad warsi (story)","0",1,"new"
"anthony kaun hai?","normal","no","no","comedy","no","no","no","arshad warsi","raj kaushal","himesh reshammiya",300,130000000,97960000,"soumik sen",0,1,"04","aug","2006","soumik sen","0",1,"old"
"kuchh meetha ho jaye","holiday","no","no","rom__com","no","yes","no","arshad warsi","samar khan","himesh reshammiya",90,40000000,16662500,"samar khan (story) | rohit malhotra (dialogue) | rohit malhotra (screenplay) | rohit malhotra (story)",0,1,"15","apr","2005","samar khan (story) | rohit malhotra (dialogue) | rohit malhotra (screenplay) | rohit malhotra (story)","0",1,"old"
"jolly llb","normal","no","no","comedy","no","no","no","arshad warsi","subhash kapoor","krsna",875,135000000,432900000,"subhash kapoor",0,6,"15","mar","2013","subhash kapoor","0",6,"new"
"ek se bure do","holiday","no","no","comedy","no","yes","no","arshad warsi","tarique khan","ravi pawar",100,60000000,10300000,"nisar akhtar (screenplay) | panchhi jalonvi (lyrics) | bobby khan (screenplay) | tariq khan",0,1,"10","apr","2009","nisar akhtar (screenplay) | panchhi jalonvi (lyrics) | bobby khan (screenplay) | tariq khan","0",1,"old"
"mirch","holiday","no","no","comedy","yes","no","no","arunoday singh","vinay shukla","monty sharma",150,37500000,12600000,"javed akhtar (lyrics) | vinay shukla (story)",0,1,"22","oct","2010","javed akhtar (lyrics) | vinay shukla (story)","0",1,"new"
"mai","normal","no","no","drama","yes","yes","yes","asha bhonsle","mahesh kodiyal","nithin r. shankar",65,20000000,1050000,"mahesh kodiyal | manoj tapadia",0,1,"01","feb","2013","mahesh kodiyal | manoj tapadia","0",1,"new"
"nazar","holiday","no","no","thriller","no","yes","no","ashmit patel","soni razdan","anu malik",175,37500000,42379500,"mahesh bhatt | anand sivakumaran (screenplay)",0,2,"20","may","2005","mahesh bhatt | anand sivakumaran (screenplay)","0",2,"old"
"bumm bumm bole","normal","no","no","drama","no","no","yes","atul kulkarni","priyadarshan","m.g. sreekumar",325,70000000,13400000,"manisha korde (screenplay) | sameer (lyrics) | irfan siddiqui (lyrics) | satish mutatkar (lyrics)",0,1,"14","may","2010","manisha korde (screenplay) | sameer (lyrics) | irfan siddiqui (lyrics) | satish mutatkar (lyrics)","0",1,"new"
"dor","normal","yes","no","drama","no","no","no","ayesha takia","nagesh kukunoor","salim - sulaiman",100,30000000,38100000,"nagesh kukunoor (screenplay) | nagesh kukunoor (story) | mir ali husain (story) | t.a. razak",0,2,"22","sep","2006","nagesh kukunoor (screenplay) | nagesh kukunoor (story) | mir ali husain (story) | t.a. razak","0",2,"old"
"mod","normal","no","no","love_story","no","no","no","ayesha takia","nagesh kukunoor","tapas relia",225,55000000,6325000,"nagesh kukunoor",0,1,"14","oct","2011","nagesh kukunoor","0",1,"new"
"bewakoofiyaan","holiday","no","no","rom__com","no","no","no","ayushman khurana","nupur asthana","raghu dixit",1100,220000000,222060000,"habib faisal",0,2,"14","mar","2014","habib faisal","0",2,"new"
"vicky donor","normal","no","no","comedy","yes","no","yes","ayushman khurana","shoojit sircar","rochak kohli",575,100000000,613200000,"juhi chaturvedi (dialogue) | juhi chaturvedi (screenplay) | juhi chaturvedi (story)",0,6,"20","apr","2012","juhi chaturvedi (dialogue) | juhi chaturvedi (screenplay) | juhi chaturvedi (story)","0",6,"new"
"qasam se qasam se","normal","no","no","love_story","yes","yes","yes","azim","ashfaque makrani","shailendra - sayanti",100,20000000,3050000,"dr. moauzzam azam | ravi | nazim hassan rizvi",0,1,"15","jun","2012","dr. moauzzam azam | ravi | nazim hassan rizvi","0",1,"new"
"main aur mr. riight","normal","no","no","rom__com","yes","yes","yes","barun sobti","adeeb rais","ravi shukla",300,42500000,3900000,NA,0,1,"12","dec","2014",NA,"0",1,"new"
"cigarette ki tarah","normal","no","no","thriller","yes","yes","yes","bhoop yaduvanshi","akashaditya lama","kavita seth",225,60000000,5900000,"pradip atluri | bobby khan",0,1,"14","dec","2012","pradip atluri | bobby khan","0",1,"new"
"aatma","normal","no","no","horror","no","no","no","bipasha basu","deepak ramsay","anu malik",70,25000000,9400000,"sudarshana dwivedi (dialogue) | suparn verma (dialogue) | suparn verma (story) | suparn verma",0,2,"22","mar","2013","sudarshana dwivedi (dialogue) | suparn verma (dialogue) | suparn verma (story) | suparn verma","0",2,"new"
"corporate","normal","no","no","drama","no","no","no","bipasha basu","madhur bhandarkar","shamir tandon",250,67500000,150560000,"madhur bhandarkar (screenplay) | ajay monga (screenplay) | sandeep nath (lyrics) | niranjan patwardhan (additional screenplay) | manoj tyagi (screenplay)",0,4,"07","jul","2006","madhur bhandarkar (screenplay) | ajay monga (screenplay) | sandeep nath (lyrics) | niranjan patwardhan (additional screenplay) | manoj tyagi (screenplay)","0",4,"old"
"chehraa","holiday","no","no","thriller","no","no","no","bipasha basu","saurabh shukla","anu malik",50,40000000,6200000,"saurabh shukla",0,1,"18","feb","2005","saurabh shukla","0",1,"old"
"pankh","holiday","no","no","drama","no","yes","no","bipasha basu","sudipto chattopadhyay","raju singh",125,55000000,2025000,"sudipto chattopadhyay (story) | sudipto chattopadhyay",0,1,"02","apr","2010","sudipto chattopadhyay (story) | sudipto chattopadhyay","0",1,"new"
"humko tumse pyaar hai","holiday","no","no","love_story","no","no","no","bobby deol","bunty soorma","anand raj anand",140,75000000,43280000,"ashok roy (screenplay) | javed siddiqui (dialogue) | bunty soorma (story)",0,1,"24","feb","2006","ashok roy (screenplay) | javed siddiqui (dialogue) | bunty soorma (story)","0",1,"old"
"chamku","normal","no","no","action","no","no","no","bobby deol","kabeer kaushik","monty sharma",425,100000000,30967500,NA,0,1,"29","aug","2008",NA,"0",1,"old"
"help","holiday","no","no","horror","no","no","no","bobby deol","rajeev virani","gourov dasgupta",575,80000000,30900000,"viddesh malandkar (dialogue) | viddesh malandkar (screenplay) | manthan (lyrics) | deepak pawar (dialogue) | deepak pawar (screenplay)",0,1,"13","aug","2010","viddesh malandkar (dialogue) | viddesh malandkar (screenplay) | manthan (lyrics) | deepak pawar (dialogue) | deepak pawar (screenplay)","0",1,"new"
"jurm","holiday","no","no","thriller","no","no","no","bobby deol","vikram bhatt","anu malik",275,90000000,61400000,NA,0,1,"10","feb","2005",NA,"0",1,"old"
"shirin farhad ki toh nikal padi","normal","no","no","rom__com","no","yes","no","boman irani","bela sehgal","jeet ganguly",650,190000000,198675000,"sanjay leela bhansali | vibhu puri (additional screenplay)",0,2,"24","aug","2012","sanjay leela bhansali | vibhu puri (additional screenplay)","0",2,"new"
"ooops a desi","normal","no","no","thriller","yes","yes","yes","buali shah","jenner jose","saurabh malhotra",30,15000000,475000,"c. jenner jose",0,1,"23","aug","2013","c. jenner jose","0",1,"new"
"accident on hill road","holiday","no","no","thriller","no","yes","no","celina jaitley","mahesh nair","raju singh",75,35000000,1950000,"varun grover (dialogues) | rahul mehta (dialogues) | mahesh nair (screenplay) | sandeep nath (lyrics) | siddhaarth parmar (screenplay)",0,1,"31","dec","2009","varun grover (dialogues) | rahul mehta (dialogues) | mahesh nair (screenplay) | sandeep nath (lyrics) | siddhaarth parmar (screenplay)","0",1,"old"
"prague","normal","no","no","thriller","no","yes","yes","chandan roy sanyal","ashish r. shukla","atif afzal",85,40000000,1150000,"rohit khaitan (conceived by) | akshendra mishra (additional screenplay) | sumit saxena (screenplay) | ashish r. shukla (screenplay) | ashish r. shukla (story) | vijay verma (additional screenplay)",0,1,"27","sep","2013","rohit khaitan (conceived by) | akshendra mishra (additional screenplay) | sumit saxena (screenplay) | ashish r. shukla (screenplay) | ashish r. shukla (story) | vijay verma (additional screenplay)","0",1,"new"
"love you to death","holiday","no","no","drama","no","yes","yes","chandan roy sanyal","rafeeq ellias","ronit chatterji",35,20000000,525000,"abhro banerjee (story) | rafeeq ellias | yuki ellias",0,1,"03","feb","2012","abhro banerjee (story) | rafeeq ellias | yuki ellias","0",1,"new"
"maruti mera dosst","normal","no","no","fantasy","no","yes","no","chandrachur singh","manikya raju","kartik shah",150,27500000,4000000,"mann katoja | manikya raju",0,1,"05","jun","2009","mann katoja | manikya raju","0",1,"old"
"mokssh","normal","no","no","drama","yes","yes","no","chinmay mandlekar","ajit bhairavkar","shailendra barve",3,5000000,500000,"ajit p. bhairavkar | ajit p. bhairavkar",0,1,"27","dec","2013","ajit p. bhairavkar | ajit p. bhairavkar","0",1,"new"
"zokkomon","holiday","no","no","fantasy","no","yes","no","darsheel safary","satyajit bhatkal","shankar - ehsaan - loy",350,100000000,11300000,"javed akhtar (lyrics) | satyajit bhatkal (story) | svati chakravarty bhatkal (story) | lancy fernandes (story) | divy nidhi sharma (dialogues)",0,1,"22","apr","2011","javed akhtar (lyrics) | satyajit bhatkal (story) | svati chakravarty bhatkal (story) | lancy fernandes (story) | divy nidhi sharma (dialogues)","0",1,"new"
"daayen ya baayen","normal","no","no","drama","no","yes","no","deepak dobriyal","bela negi","vivek philip",15,5000000,142000,"bela negi",0,1,"29","oct","2010","bela negi","0",1,"new"
"chor chor super chor","holiday","no","no","comedy","no","yes","no","deepak dobriyal","k. rajesh","mangesh dhakde",125,37500000,1750000,"rajesh. k. (story) | ani thomas (screenplay) | radhakrishnan cherpu (screenplay) | alok chaturvedi (dialogue writer) | rajesh. k.",0,1,"02","aug","2013","rajesh. k. (story) | ani thomas (screenplay) | radhakrishnan cherpu (screenplay) | alok chaturvedi (dialogue writer) | rajesh. k.","0",1,"new"
"chal bhaag","normal","no","no","comedy","no","no","yes","deepak dobriyal","prakash saini","sanjay pathak",125,20000000,750000,"tarun bajaj",0,1,"13","jun","2014","tarun bajaj","0",1,"new"
"vikalp","normal","no","no","drama","no","no","no","deepal shaw","sachin p. karande","dev sikander",125,35000000,1500000,"vishal vijay kumar | kukku prabhas (lyrics)",0,1,"07","jan","2011","vishal vijay kumar | kukku prabhas (lyrics)","0",1,"new"
"finding fanny","normal","no","no","drama","no","no","no","deepika padukone","homi adajania","mathias duplessy",875,290000000,512810000,"homi adajania | kersi khambatta",0,2,"12","sep","2014","homi adajania | kersi khambatta","0",2,"new"
"bubble gum","normal","no","no","drama","yes","yes","no","delzad hiwale","sanjivan lal","bappi - tutal",50,17500000,1150000,"rohit gahlowt (dialogue writer)",0,1,"29","jul","2011","rohit gahlowt (dialogue writer)","0",1,"new"
"chargesheet","holiday","no","no","suspense","no","no","yes","dev anand","dev anand","sanjay jaydip",75,32500000,575000,NA,0,1,"30","sep","2011",NA,"0",1,"new"
"9 eleven","normal","no","no","thriller","yes","yes","yes","devasish ray","manan singh katohora","jatin pandit",20,20000000,250000,"manan katohora",0,1,NA,NA,NA,"manan katohora","0",1,NA
"raanjhanaa","normal","no","no","love_story","yes","no","no","dhanush","anand l. rai","a.r. rehman",1450,360000000,941342500,"himanshu sharma",0,6,"21","jun","2013","himanshu sharma","0",6,"new"
"naam gum jaayega","holiday","no","no","thriller","no","no","no","dia mirza","amol shetge","anand - milind",7,15000000,350000,"amol shetge",0,1,"10","apr","2005","amol shetge","0",1,"old"
"bollywood villa","normal","no","no","suspense","no","yes","no","dilzan wadia","chandarsen singh","vaishnav deva",1,8000000,825000,NA,0,1,"11","jul","2014",NA,"0",1,"new"
"what the fish","normal","no","no","comedy","no","yes","yes","dimple kapadia","gurmmeet singh","amartya rahut",350,45000000,9800000,NA,0,1,"13","dec","2013",NA,"0",1,"new"
"holiday","holiday","no","no","drama","no","no","no","dino morea","pooja bhatt","ranjit barot",100,35000000,11200000,"a.r. murugadoss",0,6,"06","jun","2014","a.r. murugadoss","0",6,"new"
"pehli nazar ka pyaar","normal","no","no","love_story","no","no","no","divvj kak","arshad khan","ali ghani",7,7500000,325000,"armaan shahabi",0,1,"04","nov","2008","armaan shahabi","0",1,"old"
"monica","normal","no","no","thriller","no","no","yes","divya dutta","sushen bhatnagar","raju rao",100,45000000,2850000,"sushen bhatnagar",0,1,"25","mar","2011","sushen bhatnagar","0",1,"new"
"lucky kabootar","holiday","no","no","rom__com","no","yes","no","eijaz khan","shammi chhabra","santokh singh",375,70000000,4200000,"shammi chhabra | shyam goel",0,1,"18","apr","2014","shammi chhabra | shyam goel","0",1,"new"
"tell me o kkhuda","holiday","no","no","drama","yes","yes","no","eisha deol","hema malini","pritam",325,160000000,12300000,"hema malini | mayur puri (story) | ulka puri (story) | anand sharma (story)",0,1,"27","oct","2011","hema malini | mayur puri (story) | ulka puri (story) | anand sharma (story)","0",1,"new"
"dil diya hai","normal","no","no","thriller","no","no","no","emraan hashmi","aaditya datt","himesh reshammiya",225,85000000,32500000,"mudassar aziz (screenplay) | aditya datt | vinay mudgil (screenplay) | neeraj pathak (screenplay) | sameer (lyrics)",0,1,"08","sep","2006","mudassar aziz (screenplay) | aditya datt | vinay mudgil (screenplay) | neeraj pathak (screenplay) | sameer (lyrics)","0",1,"old"
"aksar","normal","no","no","thriller","no","no","no","emraan hashmi","anant mahadevan","himesh reshammiya",325,52500000,121800000,"anant mahadevan (story)",0,5,"03","feb","2006","anant mahadevan (story)","0",5,"old"
"shanghai","normal","no","no","thriller","no","no","yes","emraan hashmi","dibakar banerjee","vishal - shekhar",975,230000000,349650000,"vasilis vasilikos (adapted from the novel 'z' by) | urmi juvekar (screenplay) | dibakar banerjee (screenplay)",0,2,"08","jun","2012","vasilis vasilikos (adapted from the novel 'z' by) | urmi juvekar (screenplay) | dibakar banerjee (screenplay)","0",2,"new"
"tum mile","normal","no","no","love_story","no","no","no","emraan hashmi","kunal deshmukh","pritam",675,220000000,134600000,"kumaar (lyrics) | sayeed qadri (lyrics) | ankur tewari",0,1,"13","nov","2009","kumaar (lyrics) | sayeed qadri (lyrics) | ankur tewari","0",1,"old"
"jannat 2","holiday","no","yes","thriller","no","no","no","emraan hashmi","kunal deshmukh","pritam",2050,200000000,630910000,"kapil chopra | sanjay masoom (dialogue)",1,5,"04","may","2012","kapil chopra | sanjay masoom (dialogue)","1",5,"new"
"raja natwarlal","holiday","no","no","thriller","no","no","yes","emraan hashmi","kunal deshmukh","yuvan shankar raja",1950,470000000,390095000,"parveez sheikh (story) | sanjay masoom (dialogue)",0,2,"29","aug","2014","parveez sheikh (story) | sanjay masoom (dialogue)","0",2,"new"
"zeher","holiday","yes","no","thriller","no","yes","no","emraan hashmi","mohit suri","roop kumar rathod",275,50000000,110631250,"mahesh bhatt (screenplay)",0,4,"25","mar","2005","mahesh bhatt (screenplay)","0",4,"old"
"awarapan","normal","yes","no","drama","no","no","no","emraan hashmi","mohit suri","pritam",375,180000000,122575000,"shagufta rafique (dialogue & screenplay)",0,1,"29","jun","2007","shagufta rafique (dialogue & screenplay)","0",1,"old"
"murder 2","normal","no","yes","thriller","no","no","no","emraan hashmi","mohit suri","mithoon",1300,130000000,678450000,"mahesh bhatt | shagufta rafique",1,7,"08","jul","2011","mahesh bhatt | shagufta rafique","1",7,"new"
"ghanchakkar","normal","no","no","comedy","no","no","no","emraan hashmi","raj kumar gupta","amit trivedi",1450,290000000,449915000,"raj kumar gupta (screenplay) | parveez sheikh (screenplay) | parveez sheikh (story)",0,2,"03","jul","2013","raj kumar gupta (screenplay) | parveez sheikh (screenplay) | parveez sheikh (story)","0",2,"new"
"the killer","normal","no","no","thriller","no","yes","no","emraan hashmi","raksha mistry","sajid - wajid",250,72500000,65379000,"sanjay masoom (dialogue)",0,2,"21","jul","2006","sanjay masoom (dialogue)","0",2,"old"
"ungli","normal","no","no","drama","no","no","no","emraan hashmi","renzil d'silva","gulraj singh",1800,390000000,249657500,"renzil d'silva (story) | milap zaveri (dialogue)",0,1,"05","dec","2014","renzil d'silva (story) | milap zaveri (dialogue)","0",1,"new"
"rush","holiday","no","no","thriller","no","yes","no","emraan hashmi","shamin desai","pritam",800,180000000,45400000,"shamin desai (dialogue) | sanjay masoom (dialogue writer)",0,1,"26","oct","2012","shamin desai (dialogue) | sanjay masoom (dialogue writer)","0",1,"new"
"chand bujh gaya","normal","no","no","love_story","no","yes","yes","faisal khan","sharique minhaz","ali ghani",20,17500000,1552500,"zuber dr. (story) | qamruddin falak (story)",0,1,"18","mar","2005","zuber dr. (story) | qamruddin falak (story)","0",1,"old"
"shaadi no. 1","holiday","no","no","comedy","no","no","no","fardeen khan","david dhawan","anu malik",425,150000000,204932500,NA,0,2,"03","nov","2005",NA,"0",2,"old"
"dulha mil gaya","normal","no","no","rom__com","no","yes","no","fardeen khan","mudassar aziz","pritam",550,220000000,64850000,"mudassar aziz (story) | mudassar aziz | neeraj udhwani (script associate) | vivek vaswani (story)",0,1,"08","jan","2010","mudassar aziz (story) | mudassar aziz | neeraj udhwani (script associate) | vivek vaswani (story)","0",1,"new"
"ek khiladi ek haseena","normal","no","no","thriller","no","yes","no","fardeen khan","suparn verma","pritam",300,57500000,78866250,"suparn verma (story)",0,2,"18","nov","2005","suparn verma (story)","0",2,"old"
"acid factory","normal","yes","no","thriller","no","no","yes","fardeen khan","suparn verma","manasi scott",850,210000000,52000000,"milind gadagkar (screenplay) | milind gadagkar (story) | sanjay gupta (additional dialogue) | sanjay gupta (screenplay) | saurabh shukla (dialogue) | suparn verma (screenplay)",0,1,"09","oct","2009","milind gadagkar (screenplay) | milind gadagkar (story) | sanjay gupta (additional dialogue) | sanjay gupta (screenplay) | saurabh shukla (dialogue) | suparn verma (screenplay)","0",1,"old"
"rock on!!","normal","no","no","drama","yes","no","no","farhan akhtar","abhishek kapoor","shankar - ehsaan - loy",400,190000000,360937500,"farhan akhtar (dialogue) | pubali chaudhuri (screenplay) | abhishek kapoor (story)",0,4,"29","aug","2008","farhan akhtar (dialogue) | pubali chaudhuri (screenplay) | abhishek kapoor (story)","0",4,"old"
"bhaag milkha bhaag","normal","no","no","drama","no","no","no","farhan akhtar","rakesh omprakash mehra","shankar - ehsaan - loy",1650,530000000,1637800000,"prasoon joshi",0,7,"12","jul","2013","prasoon joshi","0",7,"new"
"shaadi ke side effects","normal","no","yes","rom__com","no","no","no","farhan akhtar","saket chaudhary","pritam",1900,430000000,696300000,"saket chaudhary (screenplay) | saket chaudhary (story) | zeenat lakhani (screenplay) | zeenat lakhani (story) | arshad sayed (dialogue) | arshad sayed (screenplay)",1,2,"28","feb","2014","saket chaudhary (screenplay) | saket chaudhary (story) | zeenat lakhani (screenplay) | zeenat lakhani (story) | arshad sayed (dialogue) | arshad sayed (screenplay)","1",2,"new"
"karthik calling karthik","holiday","no","no","thriller","no","yes","no","farhan akhtar","vijay lalwani","shankar - ehsaan - loy",850,200000000,282200000,"vijay lalwani (story)",0,2,"26","feb","2010","vijay lalwani (story)","0",2,"new"
"luck by chance","holiday","no","no","drama","no","yes","no","farhan akhtar","zoya akhtar","shankar - ehsaan - loy",600,180000000,216075000,"zoya akhtar (story) | javed akhtar (dialogue)",0,2,"30","jan","2009","zoya akhtar (story) | javed akhtar (dialogue)","0",2,"old"
"children of war","normal","no","no","drama","no","yes","yes","farooque shaikh","mrityunjay devvrat","sidhant mathur",275,90000000,7500000,"mrityunjay devvrat | asad hussain",0,1,"16","may","2014","mrityunjay devvrat | asad hussain","0",1,"new"
"lahore","normal","no","no","drama","no","yes","no","farooque shaikh","sanjay puran singh chauhan","m.m. kreem",325,95000000,12100000,"sanjay puran singh chauhan (dialogue) | sanjay puran singh chauhan (screenplay) | sanjay puransingh chauhan (story) | panchhi jalonvi (lyrics) | hriday lani (collaborating writer) | piyush mishra (dialogue) | piyush mishra (screenplay) | junaid wasi (lyrics)",0,1,"19","mar","2010","sanjay puran singh chauhan (dialogue) | sanjay puran singh chauhan (screenplay) | sanjay puransingh chauhan (story) | panchhi jalonvi (lyrics) | hriday lani (collaborating writer) | piyush mishra (dialogue) | piyush mishra (screenplay) | junaid wasi (lyrics)","0",1,"new"
"khoobsurat","normal","no","no","rom__com","yes","no","no","fawad khan","shashanka ghosh","sneha khanwalkar",1150,230000000,506715000,"d.n. mukherjee (original story) | indira bisht (screenplay) | juhi chaturvedi (dialogue)",0,3,"19","sep","2014","d.n. mukherjee (original story) | indira bisht (screenplay) | juhi chaturvedi (dialogue)","0",3,"new"
"muskurake dekh zara","normal","no","no","rom__com","yes","yes","no","gashmeer mahajani","p. som shekar","ranjit barot",175,35000000,2900000,"anurag kashyap",0,1,"26","mar","2010","anurag kashyap","0",1,"new"
"vroom","normal","no","no","comedy","yes","yes","no","gaurav bajaj","savin tuscano","sanjoy chowdhary",75,40000000,750000,"sheetal ladha (screenplay) | sameer rao (concept and story) | deepak segal (concept and story) | savin tuscano (screenplay) | amitabh verma (lyrics)",0,1,"14","may","2010","sheetal ladha (screenplay) | sameer rao (concept and story) | deepak segal (concept and story) | savin tuscano (screenplay) | amitabh verma (lyrics)","0",1,"new"
"bad luck govind","normal","no","no","comedy","no","no","no","gaurav kapur","varun khanna","anu malik",65,37500000,975000,"varun khanna (dialogue)",0,1,"09","jan","2009","varun khanna (dialogue)","0",1,"old"
"let's dance","normal","no","no","drama","yes","yes","yes","gayatri patel","aarif sheikh","vipin mishra",70,45000000,750000,"muazzam beg (story) | sibtain shahidi (screenplay)",0,1,"19","jun","2009","muazzam beg (story) | sibtain shahidi (screenplay)","0",1,"old"
"ramaiya vastavaiya","normal","yes","no","love_story","yes","no","no","girish taurani","prabhu deva","sachin - jigar",1400,380000000,383420000,"shiraz ahmed (screenplay) | veeru potla (story)",0,2,"19","jul","2013","shiraz ahmed (screenplay) | veeru potla (story)","0",2,"new"
"do knot disturb","holiday","no","no","comedy","no","no","no","govinda","david dhawan","nadeem - shravan",1000,300000000,278900000,"yunus sajawal (screenplay)",0,2,"02","oct","2009","yunus sajawal (screenplay)","0",2,"old"
"money hai toh honey hai","normal","no","no","comedy","no","no","yes","govinda","ganesh acharya","sony chandy",525,180000000,62625000,"muazzam beg | sameer (lyrics)",0,1,"25","jul","2008","muazzam beg | sameer (lyrics)","0",1,"old"
"khullam khulla pyaar karen","holiday","no","no","comedy","no","no","no","govinda","harmesh malhotra","anand - milind",60,67500000,11787500,"rajeev kaul (screenplay) | anwar khan (dialogue) | anwar khan (story) | praful parekh (screenplay)",0,1,"28","apr","2005","rajeev kaul (screenplay) | anwar khan (dialogue) | anwar khan (story) | praful parekh (screenplay)","0",1,"old"
"naughty @ 40","holiday","no","no","comedy","no","no","no","govinda","jag mundhra","monty sharma",425,100000000,19400000,"salim raza | sameer tandon (lyrics)",0,1,"29","apr","2011","salim raza | sameer tandon (lyrics)","0",1,"new"
"ssukh","normal","no","no","drama","no","no","yes","govinda","kirti kumar","kamini khanna",25,50000000,1250000,NA,0,1,"17","jun","2005",NA,"0",1,"old"
"loot","holiday","no","no","comedy","no","yes","no","govinda","rajnish thakur","shabbir ahmed",625,150000000,44100000,NA,0,1,"04","nov","2011",NA,"0",1,"new"
"chal chala chal","holiday","no","no","comedy","no","no","no","govinda","t.k. rajiv kumar","anu malik",150,80000000,17800000,"anand raj anand (lyrics) | sunil jha (lyrics) | manisha korde (dialogue) | vaibhav modi (lyrics)",0,1,"06","feb","2009","anand raj anand (lyrics) | sunil jha (lyrics) | manisha korde (dialogue) | vaibhav modi (lyrics)","0",1,"old"
"yehi hai zindagi","normal","no","no","drama","no","no","yes","gracy singh","ajay panesekar","arvind haldipur",25,10000000,2100000,"sanjay churmure (lyrics)",0,1,"07","jan","2005","sanjay churmure (lyrics)","0",1,"old"
"chanchal","normal","no","no","drama","no","yes","yes","gracy singh","indrajit singh","kuldeep singh",2,10000000,142500,NA,0,1,NA,NA,NA,NA,"0",1,NA
"milta hai chance by chance","holiday","no","no","love_story","no","no","yes","gracy singh","ramesh modi","jatin pandit",20,15000000,310000,NA,0,1,"05","aug","2011",NA,"0",1,"new"
"hello darling","normal","no","no","comedy","no","yes","no","gul panag","manoj tiwari","pritam",475,110000000,26200000,"shabbir ahmed (lyrics) | kumaar (lyrics) | ashiesh pandit (lyrics) | sachin shah | pankaj trivedi",0,1,"27","aug","2010","shabbir ahmed (lyrics) | kumaar (lyrics) | ashiesh pandit (lyrics) | sachin shah | pankaj trivedi","0",1,"new"
"i am singh","normal","no","no","drama","yes","no","yes","gulzar inder chahal","puneet issar","sudhakar sharma",300,90000000,4350000,"gary castro churchwell (additional dialogue) | deepali issar (story) | puneet issar (story) | puneet issar | satyajit puri (story)",0,1,NA,NA,NA,"gary castro churchwell (additional dialogue) | deepali issar (story) | puneet issar (story) | puneet issar | satyajit puri (story)","0",1,NA
"bengaloored","holiday","no","no","drama","yes","yes","yes","harish raj","swaroop kanchi","vasu dixit",5,5000000,195000,"imran chaudhary (lyrics) | vasu dixit (lyrics) | swaroop kanchi",0,1,"02","jul","2010","imran chaudhary (lyrics) | vasu dixit (lyrics) | swaroop kanchi","0",1,"new"
